1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_metadata_blank	2_metadata_blank
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	S046_SZ20250522052WHB-9_gdna_genome_2537267_amp	13793	54067	213	213	19141250	19127750	360802	121383	0.998716102285436	0.9905275166525548	0.01884944818128388	0.006345911045470586	0.3677183779077331	0.46787699496506696	2.856E-7	0.01093695210808911	0.007297069542445347	0.02015005378882304	0.02109539981337402	0.11858182185745493	0.0059386907868600475	0.0031486984	0.3533162914634863	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	S046_SZ20250522052WHB-9_gdna_genome_2537267_rna	13793	54012	213	213	19141250	19113733	360802	121329	0.998716102285436	0.9904325593526035	0.01884944818128388	0.006347739606909857	0.3678067768702145	0.46746762381334145	2.859E-7	0.010938527724914842	0.007298587844704238	0.02007292943778613	0.02104336922370825	0.11844983270809178	0.005950750201841681	0.0031512605	0.35346601413197604	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	S047_SZ20250522068WHB-0_gdna_genome_2537268_amp	13793	8606	40	40	19141250	18053240	580752	35837	0.998716102285436	0.9993294899911771	0.030340338274668595	0.0019850730395208835	0.7468839993598524	0.6006032816386402	3.37E-7	0.0077606563845455875	0.005210425334836328	0.05575827927516681	0.043715113508764246	0.2149342959768746	0.008585183048444764	0.0017889888	0.049487447556182236	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	S047_SZ20250522068WHB-0_gdna_genome_2537268_rna	13793	8611	41	41	19141250	18045108	580770	35821	0.998716102285436	0.9993157400174766	0.030341278652125655	0.001985080942713116	0.7467764628750051	0.5935889614227476	3.452E-7	0.007760792100673934	0.0052099747821127045	0.05584140853578924	0.043748761286222466	0.21477935406045678	0.00860458200139689	0.0018333855	0.049467668249005	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	S048_SZ20250621039WHB-2_gdna_genome_2537269_amp	13793	40013	165	165	19141250	24221044	409995	113988	0.998716102285436	0.9953765887323365	0.021419447528243964	0.004706155523271409	0.5213862348709554	0.42453203121075767	2.99E-7	0.010040082235244264	0.00621113509822138	0.046991372727796965	0.031558152629818675	0.15224567595856547	0.005686546049585134	0.0030760053	0.15262092289009993	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	S048_SZ20250621039WHB-2_gdna_genome_2537269_rna	13793	40018	165	165	19141250	24200430	409995	113807	0.998716102285436	0.9952876844382662	0.021419447528243964	0.0047026850349353305	0.5185916569956577	0.42619366103097145	2.989E-7	0.010036379593641098	0.006205463570750477	0.04696939145909341	0.03153459083488414	0.1522834778534161	0.0056809037603506125	0.0030757186	0.1517838811554414	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	S045_SZ20250522049WHB-1_gdna_genome_2537266_rna	39390	39327	33122	33122	28840923	28824471	28840033	28824025	0.9953664139194154	0.9953201655843086	0.9999691410708215	0.9999845270362088	0.9999973003209938	0.9998278407758256	2.13816E-5	0.9999768340239235	0.9999672007931119	7.444028921730928E-6	3.7630899320101897E-6	1.6366372245864885E-4	3.8621061683096134E-8	0.7264393026	0.9999973215096329	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	S046_SZ20250522052WHB-9_gdna_genome_2537267_amp	39390	54067	573	573	28840923	19127750	781308	299654	0.9953664139194154	0.9905275166525548	0.027090256438741515	0.0156659303890944	0.13497573713820732	0.35129001608418625	2.691E-7	0.020600826963790578	0.0119762338611639	0.012590795157126956	0.007520978194398246	0.055794950078890196	0.003220667890612456	0.006168985	0.17253527674184616	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	S046_SZ20250522052WHB-9_gdna_genome_2537267_rna	39390	54012	573	573	28840923	19113733	781292	299853	0.9953664139194154	0.9904325593526035	0.027089701671475574	0.015687830315511863	0.134959987185093	0.3518020659328943	2.693E-7	0.02061501014115557	0.011985262484513542	0.012574666864458208	0.0075109206542639745	0.05579523575692951	0.003224831503876112	0.00617264	0.1726819350712121	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	S047_SZ20250522068WHB-0_gdna_genome_2537268_amp	39390	8606	86	86	28840923	18053240	79659	568068	0.9953664139194154	0.9993294899911771	0.0027620128523625958	0.03146626311952869	-0.03837921815880646	0.26127305284647184	2.537E-7	0.009322565266704297	0.0027028986492383337	0.04182067787950908	0.0328595273890064	0.1855298031463063	0.009501667279767931	0.0017950324	0.0024411039941187925	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	S047_SZ20250522068WHB-0_gdna_genome_2537268_rna	39390	8611	85	85	28840923	18045108	79649	567693	0.9953664139194154	0.9993157400174766	0.002761666122821381	0.031459662086810454	-0.03948489273634391	0.2611451502381743	2.506E-7	0.009321002254079365	0.002700314030157616	0.042022305964105736	0.032969431059481254	0.18551076597963412	0.009541197790857518	0.0017739377	0.0024329359714725302	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	S048_SZ20250621039WHB-2_gdna_genome_2537269_amp	39390	40013	448	448	28840923	24221044	633474	503896	0.9953664139194154	0.9953765887323365	0.021964414939147393	0.020804057826739362	0.1241049346808563	0.2911391373573937	2.842E-7	0.02137636448333814	0.010605907942336035	0.04305763147445226	0.022510586249834548	0.09251269932555135	0.0026187070746154784	0.0056741182	0.19804467600208175	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	S048_SZ20250621039WHB-2_gdna_genome_2537269_rna	39390	40018	445	445	28840923	24200430	633356	503459	0.9953664139194154	0.9952876844382662	0.02196032353056106	0.0208037212561925	0.12356094273534723	0.2963575478672759	2.823E-7	0.02137420055640906	0.010604952624458826	0.04313703853041937	0.02255587173952285	0.09264818404183305	0.00262036341782144	0.0056355508	0.19802838059991407	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_rna	S046_SZ20250522052WHB-9_gdna_genome_2537267_amp	39327	54067	573	573	28824471	19127750	780832	299324	0.9953201655843086	0.9905275166525548	0.0270892048634648	0.015648677967873923	0.13509404586927998	0.35429357084755336	2.695E-7	0.020589080681616766	0.011973125234342368	0.01260590420214748	0.007531544001089496	0.05588249783803978	0.003216117206976406	0.006173172	0.17246822021461733	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_rna	S046_SZ20250522052WHB-9_gdna_genome_2537267_rna	39327	54012	574	574	28824471	19113733	780834	299531	0.9953201655843086	0.9904325593526035	0.02708927424895326	0.015670983789508805	0.1352808504442575	0.35495356296925673	2.702E-7	0.020603775809906903	0.011982687162530826	0.012587657613967844	0.007520355671868002	0.05583623828422994	0.0032202248782533696	0.0061876785	0.17261539830929826	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_rna	S047_SZ20250522068WHB-0_gdna_genome_2537268_amp	39327	8606	85	85	28824471	18053240	79631	568029	0.9953201655843086	0.9993294899911771	0.0027626179158673873	0.03146410284248146	-0.03942799496926531	0.2614253818589207	2.511E-7	0.009323266284909665	0.002701507695514524	0.0417155175970975	0.03280868704328771	0.1856760306719754	0.00950992151333645	0.0017764588	0.0024400870778561964	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_rna	S047_SZ20250522068WHB-0_gdna_genome_2537268_rna	39327	8611	85	85	28824471	18045108	79631	567693	0.9953201655843086	0.9993157400174766	0.0027626179158673873	0.031459662086810454	-0.03951763757006317	0.2614253818589207	2.51E-7	0.009322608331800524	0.0026997907114163834	0.041912814883503006	0.03291632474862561	0.18563622997802934	0.009549420748403935	0.0017762732	0.002431937231055284	.	.
S045_SZ20250522049WHB-1_gdna_genome_2537266_rna	S048_SZ20250621039WHB-2_gdna_genome_2537269_amp	39327	40013	447	447	28824471	24221044	632949	503879	0.9953201655843086	0.9953765887323365	0.021958737768335793	0.020803355957736525	0.1239324364165922	0.29345152411833114	2.841E-7	0.021373241171550993	0.010605675359571515	0.043206755138008264	0.022582101363182172	0.09283631872079533	0.0026206371120763893	0.0056659019	0.1980050834907721	.	.
