sample_id	metadata_blank	x	mean	ciL	ciU	type
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.0765464E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.1053873E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.1342283E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.1630692E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.1919101E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.220751E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.2495919E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.2784329E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.3072738E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.3361147E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.3649556E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.3937966E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.4226375E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.4514784E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.4803193E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.5091603E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.5380012E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.5668421E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.595683E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.6245239E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.6533649E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.6822058E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.7110467E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.7398876E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.7687286E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.7975695E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.8264104E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.8552513E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	.	2.8840923E7	0.0	0.0	0.0	2
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	0.0	0.0	0.0	0.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	288409.0	6890.0	6801.8	6978.2	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	576818.0	8310.0	8225.72	8394.28	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	865227.0	9183.0	9102.64	9263.36	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1153636.0	9788.0	9711.56	9864.44	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1442046.0	10235.0	10160.52	10309.48	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1730455.0	10583.0	10512.44	10653.56	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2018864.0	10864.0	10795.4	10932.6	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2307273.0	11099.0	11034.32	11163.68	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2595683.0	11298.0	11235.28	11360.72	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	2884092.0	11472.0	11411.24	11532.76	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	3172501.0	11626.0	11567.2	11684.8	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	3460910.0	11764.0	11709.12	11818.88	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	3749319.0	11889.0	11836.08	11941.92	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	4037729.0	12004.0	11953.04	12054.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	4326138.0	12109.0	12060.0	12158.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	4614547.0	12207.0	12159.96	12254.04	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	4902956.0	12298.0	12252.92	12343.08	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	5191366.0	12383.0	12339.88	12426.12	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	5479775.0	12463.0	12421.84	12504.16	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	5768184.0	12538.0	12498.8	12577.2	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	6056593.0	12609.0	12571.76	12646.24	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	6345003.0	12677.0	12641.72	12712.28	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	6633412.0	12740.0	12706.68	12773.32	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	6921821.0	12801.0	12769.64	12832.36	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	7210230.0	12859.0	12829.6	12888.4	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	7498639.0	12914.0	12884.6	12943.4	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	7787049.0	12966.0	12938.56	12993.44	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	8075458.0	13016.0	12990.52	13041.48	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	8363867.0	13063.0	13039.48	13086.52	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	8652276.0	13109.0	13085.48	13132.52	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	8940686.0	13152.0	13130.44	13173.56	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	9229095.0	13193.0	13173.4	13212.6	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	9517504.0	13233.0	13213.4	13252.6	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	9805913.0	13271.0	13253.36	13288.64	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.0094323E7	13307.0	13291.32	13322.68	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.0382732E7	13341.0	13325.32	13356.68	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.0671141E7	13373.0	13359.28	13386.72	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.095955E7	13405.0	13391.28	13418.72	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.1247959E7	13434.0	13422.24	13445.76	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.1536369E7	13462.0	13450.24	13473.76	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.1824778E7	13489.0	13479.2	13498.8	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.2113187E7	13515.0	13505.2	13524.8	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.2401596E7	13539.0	13531.16	13546.84	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.2690006E7	13562.0	13554.16	13569.84	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.2978415E7	13583.0	13575.16	13590.84	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.3266824E7	13604.0	13598.12	13609.88	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.3555233E7	13623.0	13617.12	13628.88	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.3843643E7	13641.0	13635.12	13646.88	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.4132052E7	13658.0	13654.08	13661.92	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.4420461E7	13674.0	13670.08	13677.92	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.470887E7	13688.0	13684.08	13691.92	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.4997279E7	13702.0	13700.04	13703.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.5285689E7	13715.0	13713.04	13716.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.5574098E7	13726.0	13724.04	13727.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.5862507E7	13737.0	13735.04	13738.96	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.6150916E7	13746.0	13746.0	13746.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.6439326E7	13755.0	13755.0	13755.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.6727735E7	13763.0	13763.0	13763.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.7016144E7	13770.0	13770.0	13770.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.7304553E7	13775.0	13775.0	13775.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.7592963E7	13780.0	13780.0	13780.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.7881372E7	13785.0	13785.0	13785.0	0
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	.	1.8169781E7	13788.0	13788.0	13788.0	0
